Price;Close;High;Low;Open;Volume
Ticker;TSLA;TSLA;TSLA;TSLA;TSLA
Date;;;;;
2014-12-15 00.00.00;14,61933327;14,69333267;12,84333324;13,95266724;531090000
2014-12-22 00.00.00;15,18799973;15,23333263;14,55066681;14,66666698;209464500
2014-12-29 00.00.00;14,62066746;15,19400024;14,21733284;15,12666702;191514000
2015-01-05 00.00.00;13,77733326;14,4333334;13,61400032;14,30333328;340644000
2015-01-12 00.00.00;12,87133312;13,84066677;12,33333302;13,53666687;461988000
2015-01-19 00.00.00;13,41933346;13,5666666;12,4693327;12,92466736;243175500
2015-01-26 00.00.00;13,57333279;13,90799999;13,10000038;13,45533276;235803000
2015-02-02 00.00.00;14,49066734;15,03199959;13,55333328;13,59799957;285714000
2015-02-09 00.00.00;13,58466721;14,69999981;12,88533306;14,35866737;607089000
2015-02-16 00.00.00;14,47399998;14,50666714;13,4333334;13,71333313;267441000
2015-02-23 00.00.00;13,55599976;14,5466671;13,44666672;14,37733269;440518500
2015-03-02 00.00.00;12,92533302;13,74600029;12,81000042;13,51333332;422487000
2015-03-09 00.00.00;12,57866669;13,07866669;12,48799992;12,95933342;403123500
2015-03-16 00.00.00;13,20533276;13,63933277;12,65333271;12,80000019;421327500
2015-03-23 00.00.00;12,33333302;13,58600044;12,09333324;13,23333263;371172000
2015-03-30 00.00.00;12,73333263;12,91733265;12,11999989;12,39000034;358816500
2015-04-06 00.00.00;14,06000042;14,10999966;13,16666698;13,19999981;464620500
2015-04-13 00.00.00;13,78600025;14,19999981;13,5666666;14,02933311;192984000
2015-04-20 00.00.00;14,56200027;14,79199982;13,59000015;13,78533268;310407000
2015-04-27 00.00.00;15,06866741;15,91666698;14,69400024;14,83733273;463315500
2015-05-04 00.00.00;15,77400017;15,96666718;14,6833334;15,21199989;444397500
2015-05-11 00.00.00;16,58933258;16,62666702;15,68733311;15,75266743;373491000
2015-05-18 00.00.00;16,51533318;16,73333359;16,09133339;16,46666718;224650500
2015-05-25 00.00.00;16,71999931;16,8579998;16,33666611;16,51199913;215152500
2015-06-01 00.00.00;16,60933304;16,7733326;16,37866783;16,7606678;178455000
2015-06-08 00.00.00;16,71266747;17,25;16,56666756;16,72333336;218235000
2015-06-15 00.00.00;17,50066757;17,62400055;16,40066719;16,64666748;223942500
2015-06-22 00.00.00;17,80599976;18,09399986;17,04599953;17,4766674;262977000
2015-06-29 00.00.00;18,66799927;18,82999992;17,37999916;17,46333313;237463500
2015-07-06 00.00.00;17,27666664;18,77933311;16,95400047;18,59199905;335896500
2015-07-13 00.00.00;18,31066704;18,36933327;17,06999969;17,48333359;202644000
2015-07-20 00.00.00;17,69400024;19,11000061;17,39066696;18,33333206;288838500
2015-07-27 00.00.00;17,74333382;17,95733261;16,71933365;17,49533272;234559500
2015-08-03 00.00.00;16,1673336;18,06666756;15,74133301;17,75266647;462262500
2015-08-10 00.00.00;16,20999908;16,52866745;15,51599979;15,87666702;318492000
2015-08-17 00.00.00;15,3846674;17,39666748;15,36733341;17,03733253;397080000
2015-08-24 00.00.00;16,56533241;16,76333237;13;13,51933289;480624000
2015-08-31 00.00.00;16,12866783;16,99666786;15,79800034;16,37466621;340023000
2015-09-07 00.00.00;16,68266678;16,95000076;16,27000046;16,33666611;173832000
2015-09-14 00.00.00;17,37466621;17,70000076;16,63333321;16,73999977;263856000
2015-09-21 00.00.00;17,12733269;18,10466766;17,05333328;17,59866714;294105000
2015-09-28 00.00.00;16,50466728;17,31933212;15,6619997;17,15666771;337963500
2015-10-05 00.00.00;14,71266747;16,65600014;14,55733299;16,58933258;420310500
